timestamp,demand_mw,source
2026-06-23 22:30:00,270.0,api
2026-06-23 22:45:00,262.0,api
2026-06-24 10:00:00,274.0,api
2026-06-24 10:30:00,274.0,api
2026-06-24 10:45:00,272.0,api
2026-06-24 11:00:00,272.0,api
2026-06-24 11:15:00,264.0,api
2026-06-24 11:30:00,271.0,api
2026-06-24 11:45:00,272.0,api
2026-06-24 12:00:00,265.0,api
2026-06-24 12:15:00,268.0,api
2026-06-24 12:30:00,262.0,api
2026-06-24 12:45:00,268.0,api
2026-06-24 13:00:00,267.0,api
2026-06-24 13:15:00,270.0,api
2026-06-24 14:15:00,265.0,api
2026-06-24 14:30:00,266.0,api
2026-06-24 14:45:00,267.0,api
2026-06-24 14:45:00+05:30,267.0,api
