timestamp,demand_mw,source
2026-06-24 11:00:00,146.0,api
2026-06-24 11:15:00,149.0,api
2026-06-24 11:30:00,147.0,api
2026-06-24 11:45:00,147.0,api
2026-06-24 12:00:00,146.0,api
2026-06-24 12:15:00,149.0,api
2026-06-24 12:30:00,149.0,api
2026-06-24 12:45:00,145.0,api
2026-06-24 13:00:00,149.0,api
2026-06-24 13:15:00,138.0,api
2026-06-24 14:15:00,158.0,api
2026-06-24 14:30:00,159.0,api
2026-06-24 14:45:00,159.0,api
2026-06-24 14:45:00+05:30,159.0,api
